restaurant_id,restaurant_name,location,cuisines,estimated_cost_for_two,rating,votes,cuisine_tags,budget_category
rest_000044,Chianti,Koramangala 5Th Block,Italian,1500.0,4.7,4845,Italian,medium
rest_000045,The Big Barbeque,Electronic City,"Bbq, North Indian, Continental, Chinese",1500.0,4.7,524,Bbq|North Indian|Continental|Chinese,medium
rest_000046,Burma Burma,Indiranagar,"Asian, Burmese",1500.0,4.7,1594,Asian|Burmese,medium
rest_000047,Toit,Indiranagar,"Italian, American, Pizza",1500.0,4.7,14956,Italian|American|Pizza,medium
rest_000048,Chianti,Indiranagar,Italian,1500.0,4.7,4398,Italian,medium
rest_000049,Maziga,Whitefield,Modern Indian,1500.0,4.7,292,Modern Indian,medium
rest_000050,AB's - Absolute Barbecues,Sarjapur Road,"European, Mediterranean, North Indian, Bbq",1600.0,4.7,881,European|Mediterranean|North Indian|Bbq,high
rest_000051,Barbeque Nation,Koramangala 1St Block,"North Indian, European, Mediterranean, Bbq, Kebab",1600.0,4.7,3614,North Indian|European|Mediterranean|Bbq|Kebab,high
rest_000052,Barbeque Nation,Indiranagar,"North Indian, European, Mediterranean, Bbq, Kebab",1600.0,4.7,7152,North Indian|European|Mediterranean|Bbq|Kebab,high
rest_000053,Mainland China,Whitefield,"Chinese, Momos",1700.0,4.7,1512,Chinese|Momos,high
rest_000054,Big Pitcher,Old Airport Road,"American, Continental, North Indian, Mediterranean",1800.0,4.7,9021,American|Continental|North Indian|Mediterranean,high
rest_000055,You Mee,Whitefield,"Sushi, Japanese, Chinese, Thai",2000.0,4.7,231,Sushi|Japanese|Chinese|Thai,high
rest_000056,Biergarten,Whitefield,"Continental, European, Bbq, Chinese, Asian",2400.0,4.7,6865,Continental|European|Bbq|Chinese|Asian,high
rest_000057,Natural Ice Cream,Indiranagar,"Ice Cream, Desserts",150.0,4.6,922,Ice Cream|Desserts,low
rest_000058,Apsara Ice Cream,Indiranagar,"Ice Cream, Desserts",200.0,4.6,206,Ice Cream|Desserts,low
rest_000059,The Pancake Story,Koramangala 1St Block,"Desserts, Beverages",300.0,4.6,117,Desserts|Beverages,low
rest_000060,Mugful Of Stories,Kalyan Nagar,"Desserts, Bakery",300.0,4.6,274,Desserts|Bakery,low
rest_000061,The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",400.0,4.6,228,Cafe|Beverages,low
rest_000062,Dock Frost'd,Marathahalli,"Beverages, Desserts",400.0,4.6,110,Beverages|Desserts,low
rest_000063,Corner House Ice Cream,Koramangala 5Th Block,"Ice Cream, Desserts",400.0,4.6,277,Ice Cream|Desserts,low
